# This file contains ~14,000 BRDF measurements
# for vegetation. This data was gathered using the
# Cloud Absorption Radiometer (CARs) sensor
# during the CLASIC mission over Oklahoma.
# This data is for 479 nm
# Visit https://car.gsfc.nasa.gov/ for raw data
# and more details.
# See Satellite Optical Brightness (Fankhauser et. al)
# for more information.
#
# phi_i     theta_i     phi_o     theta_o     brdf
30.420     180.000     52.000     309.000     2.51602e-01
30.420     180.000     65.000     341.000     3.65675e-01
30.420     180.000     86.500     13.000     3.80031e-01
30.420     180.000     34.000     174.000     9.24987e-02
30.420     180.000     25.000     115.000     1.33914e-01
30.420     180.000     13.500     75.000     2.16781e-01
30.420     180.000     53.000     194.000     9.26124e-02
30.420     180.000     6.000     171.000     1.70010e-01
30.420     180.000     15.000     256.000     1.70253e-01
30.420     180.000     39.500     121.000     1.05461e-01
30.420     180.000     50.500     178.000     8.78918e-02
30.420     180.000     41.500     44.000     2.97972e-01
30.420     180.000     64.500     170.000     1.07160e-01
30.420     180.000     74.000     299.000     2.31104e-01
30.420     180.000     17.500     332.000     3.68766e-01
30.420     180.000     1.500     284.000     2.11992e-01
30.420     180.000     34.500     274.000     1.65333e-01
30.420     180.000     6.500     326.000     2.59506e-01
30.420     180.000     34.500     34.000     3.80476e-01
30.420     180.000     73.000     170.000     1.34355e-01
30.420     180.000     10.500     250.000     1.77053e-01
30.420     180.000     38.000     280.000     1.71089e-01
30.420     180.000     51.000     301.000     2.19135e-01
30.420     180.000     7.500     71.000     2.22965e-01
30.420     180.000     71.000     155.000     1.26607e-01
30.420     180.000     45.000     118.000     1.03797e-01
30.420     180.000     17.500     214.000     1.31769e-01
30.420     180.000     37.500     92.000     1.39209e-01
30.420     180.000     62.500     257.000     1.37520e-01
30.420     180.000     61.000     64.000     1.92350e-01
30.420     180.000     39.500     238.000     1.11496e-01
30.420     180.000     65.000     328.000     3.19914e-01
30.420     180.000     72.500     87.000     1.75072e-01
30.420     180.000     32.500     6.000     3.98771e-01
30.420     180.000     44.500     278.000     1.57933e-01
30.420     180.000     23.500     87.000     1.75712e-01
30.420     180.000     71.000     125.000     1.33142e-01
30.420     180.000     45.000     255.000     1.26588e-01
30.420     180.000     60.000     182.000     9.81177e-02
30.420     180.000     4.500     305.000     2.49063e-01
30.420     180.000     64.000     323.000     2.91279e-01
30.420     180.000     58.000     323.000     3.00891e-01
30.420     180.000     41.000     309.000     2.82950e-01
30.420     180.000     68.500     176.000     1.16996e-01
30.420     180.000     41.000     252.000     1.24044e-01
30.420     180.000     3.000     123.000     1.97329e-01
30.420     180.000     55.000     175.000     9.10961e-02
30.420     180.000     40.000     220.000     1.02300e-01
30.420     180.000     64.000     294.000     1.98011e-01
30.420     180.000     50.500     60.000     2.01797e-01
30.420     180.000     40.500     360.000     3.65947e-01
30.420     180.000     42.000     103.000     1.22302e-01
30.420     180.000     33.000     243.000     1.19899e-01
30.420     180.000     20.500     106.000     1.52784e-01
30.420     180.000     1.500     186.000     1.95770e-01
30.420     180.000     16.500     344.000     4.08268e-01
30.420     180.000     24.500     88.000     1.71719e-01
30.420     180.000     17.000     259.000     1.71671e-01
30.420     180.000     3.500     45.000     2.36816e-01
30.420     180.000     29.500     210.000     1.05265e-01
30.420     180.000     58.000     122.000     1.05586e-01
30.420     180.000     80.500     321.000     3.25031e-01
30.420     180.000     5.000     69.000     2.27752e-01
30.420     180.000     36.000     54.000     2.61204e-01
30.420     180.000     8.000     265.000     1.98886e-01
30.420     180.000     24.500     227.000     1.22148e-01
30.420     180.000     88.000     272.000     2.06808e-01
30.420     180.000     55.500     89.000     1.40803e-01
30.420     180.000     70.000     227.000     1.32250e-01
30.420     180.000     45.500     248.000     1.19709e-01
30.420     180.000     29.000     166.000     9.99729e-02
30.420     180.000     58.500     204.000     1.03065e-01
30.420     180.000     18.500     293.000     2.52494e-01
30.420     180.000     74.000     177.000     1.37453e-01
30.420     180.000     47.500     233.000     1.07255e-01
30.420     180.000     36.000     328.000     4.35410e-01
30.420     180.000     47.000     291.000     1.89590e-01
30.420     180.000     66.000     153.000     1.10870e-01
30.420     180.000     60.500     178.000     9.83853e-02
30.420     180.000     56.000     67.000     1.82621e-01
30.420     180.000     86.500     26.000     3.55186e-01
30.420     180.000     8.000     74.000     2.20777e-01
30.420     180.000     35.000     266.000     1.46032e-01
30.420     180.000     20.500     296.000     2.62546e-01
30.420     180.000     47.000     168.000     8.62866e-02
30.420     180.000     48.000     258.000     1.30303e-01
30.420     180.000     69.500     182.000     1.21029e-01
