# This data is brightness observations of selected
# Starlink v1.5 satellites by the Pomenis observatory
# All data was collected at Mount Lemmon, Arizona
# (32.4434° N, 110.7881° W)
# All observations in this data correspond to
# satellites with the same brightness configuration
# A list of satellites with this brightness configuration
# is given in brightness_config_list.csv
# See Satellite Optical Brightness (Fankhauser et. al 2023)
# for more information
#
# ------------ Units -----------------
# Observation Time : UTC
# Satellite Height : kilometers
# Satellite Altitude : degrees (HCS)
# Satellite Azimuth : degrees (HCS)

observation_time,satellite_height,satellite_altitude,satellite_azimuth,ab_magnitude
2022-04-23T04:04:16,542.2368532,23.92279023,339.8958605,6.905897793
2022-04-23T03:54:53,540.4153834,69.98237158,316.5518461,5.28925824
2022-04-23T04:33:05,541.0966383,28.97802268,305.6540299,7.095022456
2022-04-23T03:50:35,540.8701609,43.28998279,33.61140257,8.22791951
2022-04-23T03:38:46,540.169372,67.67283962,70.60432334,4.928481429
2022-04-23T04:10:55,540.8875735,44.10358844,291.4257884,4.417780969
2022-04-23T04:16:10,540.9470162,36.90424066,286.2637107,5.302821175
2022-04-23T10:20:47,542.3529208,23.32373753,73.29532225,6.484903035
2022-04-23T11:42:03,541.5651282,41.3300321,238.90311,4.513411535
2022-04-23T10:15:09,542.4103371,21.98265326,68.21206761,6.073112069
2022-04-23T10:24:11,543.1636125,29.2131848,16.84316517,6.848422818
2022-04-23T10:08:03,543.2016319,23.3602513,30.96522832,6.678225904
2022-04-23T11:44:11,542.8562376,60.58228082,338.1396403,6.197514513
2022-04-23T10:47:52,542.0543171,43.50324331,81.23837002,6.015288846
2022-04-23T10:36:22,542.3124087,38.79870529,54.61204943,4.061062873
2022-04-23T10:38:20,543.4723392,20.14330854,35.2547156,6.958364822
2022-04-23T10:50:04,542.75704,23.39339214,51.83400742,5.671255326
2022-04-23T10:54:32,543.0726271,25.98453442,25.79806036,7.1182665
2022-04-24T03:27:09,541.2758929,33.18500357,318.9353249,6.454649456
2022-04-24T03:48:21,543.3467005,20.42518613,15.02853011,7.741496254
2022-04-24T03:43:29,543.3038697,20.2681102,29.05348766,6.463754206
2022-04-24T03:10:10,540.7498215,45.11305357,296.7873722,4.76221878
2022-04-24T03:32:32,541.3264396,29.75033921,315.2801927,6.673354203
2022-04-24T03:15:41,540.9694464,40.23575582,300.5646206,5.525349136
2022-04-24T03:54:49,542.0917673,20.342844,321.8545947,6.931719554
2022-04-24T04:14:14,541.7252137,28.44948373,331.2271249,6.616954773
2022-04-24T04:02:44,541.4027486,35.81143659,317.6342489,6.006354086
2022-04-24T11:33:31,541.2526103,30.42178647,231.0064868,5.013802537
2022-04-24T11:07:22,541.3640586,36.57707766,165.3914842,6.294841733
2022-04-24T10:49:48,541.746365,74.47589188,133.3193396,7.332596444
2022-04-24T11:27:46,541.736479,34.53750168,238.8245284,4.902542891
2022-04-24T11:39:33,541.252125,25.61919159,217.669949,4.960284325
2022-04-24T11:11:56,541.6100038,49.36061074,203.4330554,4.927520453
2022-04-24T11:45:04,542.4402332,40.64582225,86.9860506,6.593592431
2022-04-24T11:00:07,542.0207035,65.31846228,266.8125762,7.674027083
2022-04-24T10:29:01,543.5606581,23.67674548,20.29114569,7.412239792
2022-04-24T10:18:23,543.409563,20.63473783,30.44317429,6.759014971
2022-04-24T10:24:50,543.1643004,21.88383955,51.58502253,4.459920023
2022-04-25T10:26:09,542.9669292,33.84650488,23.72211911,6.015452759
2022-04-25T11:28:52,541.7363047,33.45485257,168.9623228,6.232568767
2022-04-25T11:23:09,541.6822856,39.39986354,164.0493361,6.51571797
2022-04-25T10:21:59,542.750789,28.6346052,65.59088719,5.887682888
2022-04-25T11:50:08,541.3434234,29.32182586,209.4210261,5.762249102
2022-04-25T11:16:34,541.9930336,71.3155175,198.9354819,5.19335171
2022-04-25T10:38:33,542.0576972,38.55834487,77.18049448,5.789942291
2022-04-25T10:42:43,542.6233051,46.55981411,15.26049675,5.709628859
2022-04-26T03:03:30,541.7905028,30.09500719,92.98204965,5.314111762
2022-04-26T03:46:07,541.4063931,65.21646526,233.7612175,5.894638411
2022-04-26T03:29:49,541.7159544,79.89051863,98.31491521,5.042633145
2022-04-26T03:19:16,541.5738997,53.5645935,93.99645303,4.945875864
2022-04-26T03:00:36,543.1980976,20.11990135,43.4314736,7.161008742
2022-04-26T03:49:25,542.6389926,45.93052324,5.219707324,6.28893994
2022-04-26T04:01:53,541.7011883,37.57686686,262.638475,6.874307044
2022-04-26T03:47:46,540.7304008,45.39530997,313.569308,5.546072441
2022-04-26T03:08:17,539.5473474,49.46297713,198.2361078,6.398806989
2022-04-26T03:31:00,540.0922605,64.41615954,286.1896032,5.656324391
2022-04-26T03:21:34,540.9981,41.23619334,40.56283134,6.301211324
2022-04-26T03:15:01,540.2465106,75.0560001,73.26124775,5.270880895
2022-04-26T03:26:48,540.8242955,47.86170452,28.42278653,6.238278419
2022-04-26T10:30:56,576.1862383,28.9451343,106.1249433,7.543461585
2022-04-26T11:37:10,543.3389999,21.95369447,38.71365157,6.514720811
2022-04-26T11:17:47,542.2231776,35.28846125,262.1788572,8.104264885
2022-04-26T10:47:05,541.1787253,38.00645112,136.2782905,6.597036645
2022-04-26T10:57:18,541.7925369,55.8131204,171.0083222,5.775831028
2022-04-26T10:51:40,541.7498166,63.87573226,157.8102885,6.604634671
2022-04-26T11:08:11,541.6377459,48.14106323,198.9521557,5.022142365
2022-04-26T11:30:55,541.1883435,24.73029153,198.103459,5.964933766
2022-04-26T11:25:32,541.3234939,26.25548483,190.9668551,6.754334584
2022-04-26T10:27:18,542.694505,20.59819787,69.59893772,6.541405273
2022-04-28T03:13:45,539.7145768,32.06777442,119.8547941,4.85998437
2022-04-28T02:57:47,539.7918926,20.90326816,109.044102,5.227650124
2022-04-28T03:32:25,541.6157115,46.05998383,142.0404621,5.716381237
2022-04-28T03:42:46,541.6902911,58.88189671,188.2671086,5.450943241
2022-04-28T03:53:10,541.4198371,49.04911002,237.6588249,6.277821715
2022-04-28T03:37:11,541.6104589,67.57820317,177.8242904,5.469583425
2022-04-28T04:03:16,541.9583445,31.49074694,265.8383402,7.117840511
2022-04-28T03:47:38,541.432482,56.34410042,240.4076476,5.441417926
2022-04-28T02:55:02,541.2515745,25.31496956,324.4233849,6.98193207
2022-05-09T03:20:31,542.4040607,25.24777643,73.83596943,5.797913785
2022-05-09T03:14:36,542.5346088,25.27665451,62.04371986,6.288905323
2022-05-10T03:18:43,543.1566192,21.97382234,42.32540803,7.746817973
2022-05-10T03:25:22,542.7072111,20.42627837,67.57005889,6.104300545
2022-05-10T03:43:31,542.5176831,78.76314599,341.1435157,5.573015391
2022-05-10T03:39:07,541.7546522,51.71647674,116.1810144,4.846315966
2022-05-10T10:11:00,542.4315215,26.23320328,68.37621451,6.05295551
2022-05-11T03:11:06,542.5656116,23.31968658,69.95819657,5.954051875
2022-05-11T03:15:05,543.1562009,30.19584238,30.57833813,7.784847077
2022-05-11T04:17:56,542.1015229,21.30740937,257.433822,7.750351058
2022-05-11T03:21:49,542.6533786,30.43322059,68.33547777,5.818098109
2022-05-11T03:59:25,542.2477724,77.34202735,357.0421901,5.583688038
2022-05-11T03:43:45,542.2893488,47.56541312,83.25643217,5.058677425
2022-05-11T03:31:55,542.7322108,42.65157778,38.3570881,6.236397177
2022-05-11T03:27:36,542.1787691,31.16506069,78.6995503,5.196803065
2022-05-11T03:04:45,543.0059789,24.50159002,49.32981915,6.714111
2022-05-11T04:06:56,542.6464724,36.21245516,16.15353706,6.474876182
2022-05-11T04:12:48,542.5732608,43.16002172,26.50165135,6.08505505
2022-05-11T10:07:50,542.1155008,35.94202034,81.32602201,6.604131929
2022-05-12T03:59:04,541.4768625,22.53965707,238.1676212,7.572626448
2022-05-12T03:46:49,542.1524785,23.15555399,269.0188839,6.626447354
2022-05-12T03:43:22,542.1099438,31.14512934,74.62902287,5.924813523
2022-05-12T03:55:58,543.0276291,22.60648391,41.58092709,6.947288474
2022-05-12T04:25:14,541.4372057,24.93901924,307.1124121,5.765152967
2022-05-14T03:58:03,541.67187,55.48174382,229.9144072,5.972091107
2022-05-14T03:25:00,542.1820575,65.4192963,47.0338807,5.839172292
2022-05-14T03:40:55,542.0266857,61.99472199,306.6328783,4.938316032
2022-05-14T03:14:12,542.2620725,49.22415552,58.72353846,5.459722363
2022-05-14T03:51:56,541.8463348,54.95716917,274.9323342,5.978900946
2022-05-14T03:29:38,542.2983615,52.2615336,336.9549547,5.886382116
2022-05-14T03:37:27,541.4552624,39.04935963,132.8560946,4.630619304
2022-05-14T03:48:08,541.2867652,45.98750342,156.614912,5.101084369
2022-05-14T04:09:10,541.3233331,41.64563234,225.6820489,6.282372249
2022-05-14T04:13:11,541.7518104,28.02156812,272.9685191,7.322744777
2022-05-14T03:18:06,542.8331503,36.39156786,344.0135753,7.097999496
2022-05-14T03:09:02,542.1665778,40.6981204,70.30508781,5.145641599
2022-05-17T03:17:47,542.1650495,79.06546364,263.3433718,5.610955994
2022-05-17T03:26:58,542.3619576,38.33577304,86.5063935,4.729938935
2022-05-17T03:32:32,542.2663771,40.77932454,95.15913128,4.844955651
2022-05-17T03:12:56,542.0264131,67.15473804,133.0880203,5.00526957
2022-05-17T03:07:12,542.1511687,72.1622291,94.45368716,5.309701192
2022-05-17T03:36:56,542.2916687,61.98295224,38.6409689,5.988743076
2022-05-17T03:59:42,541.7604339,60.08014295,160.4613652,5.09468067
2022-05-17T03:49:08,541.9673561,46.81266412,126.667026,4.771571723
