# This file contains the BRDF of the chassis
# of selected Starlink v1.5 satellites
# This BRDF applies to satellites with 
# NORAD IDs given in brightness_config_list.csv
# (phi_i, theta_i) are the zenith and azimuth angles
# of ingoing light
# (phi_o, theta_o) are the zenith and azimuth angles
# of scattered light
# This data was measured by Scatterworks
# and is at a wavelength lambda = 532 nm
# See Satellite Optical Brightness (Fankhauser et. al 2023)
# for more information
#
# phi_i     theta_i     phi_o     theta_o     brdf
60.00     -180.00     -69.00     0.00     1.32678e-02
60.00     -180.00     -68.00     0.00     1.29536e-02
60.00     -180.00     -67.00     0.00     1.28795e-02
60.00     -180.00     -66.00     0.00     1.23525e-02
60.00     -180.00     -65.00     0.00     1.21551e-02
60.00     -180.00     -64.00     0.00     1.22665e-02
60.00     -180.00     -63.00     0.00     1.07603e-02
60.00     -180.00     -62.00     0.00     1.08874e-02
60.00     -180.00     -61.00     0.00     1.10145e-02
60.00     -180.00     -60.00     0.00     1.11416e-02
60.00     -180.00     -59.00     0.00     1.12687e-02
60.00     -180.00     -58.00     0.00     1.13958e-02
60.00     -180.00     -57.00     0.00     1.15230e-02
60.00     -180.00     -56.00     0.00     1.16501e-02
60.00     -180.00     -55.00     0.00     1.01973e-02
60.00     -180.00     -54.00     0.00     1.01310e-02
60.00     -180.00     -53.00     0.00     9.85469e-03
60.00     -180.00     -52.00     0.00     9.62372e-03
60.00     -180.00     -51.00     0.00     9.83854e-03
60.00     -180.00     -50.00     0.00     9.55714e-03
60.00     -180.00     -49.00     0.00     9.46534e-03
60.00     -180.00     -48.00     0.00     9.28404e-03
60.00     -180.00     -47.00     0.00     9.30077e-03
60.00     -180.00     -46.00     0.00     9.18989e-03
60.00     -180.00     -45.00     0.00     9.11413e-03
60.00     -180.00     -44.00     0.00     9.19936e-03
60.00     -180.00     -43.00     0.00     9.01879e-03
60.00     -180.00     -42.00     0.00     9.16019e-03
60.00     -180.00     -41.00     0.00     9.05141e-03
60.00     -180.00     -40.00     0.00     9.06580e-03
60.00     -180.00     -39.00     0.00     8.97521e-03
60.00     -180.00     -38.00     0.00     8.98904e-03
60.00     -180.00     -37.00     0.00     8.81838e-03
60.00     -180.00     -36.00     0.00     8.99201e-03
60.00     -180.00     -35.00     0.00     9.03953e-03
60.00     -180.00     -34.00     0.00     8.95075e-03
60.00     -180.00     -33.00     0.00     9.24134e-03
60.00     -180.00     -32.00     0.00     9.05328e-03
60.00     -180.00     -31.00     0.00     9.08903e-03
60.00     -180.00     -30.00     0.00     9.06367e-03
60.00     -180.00     -29.00     0.00     9.20320e-03
60.00     -180.00     -28.00     0.00     9.27071e-03
60.00     -180.00     -27.00     0.00     9.30880e-03
60.00     -180.00     -26.00     0.00     9.34214e-03
60.00     -180.00     -25.00     0.00     9.46063e-03
60.00     -180.00     -24.00     0.00     9.51532e-03
60.00     -180.00     -23.00     0.00     9.59491e-03
60.00     -180.00     -22.00     0.00     9.75636e-03
60.00     -180.00     -21.00     0.00     9.81914e-03
60.00     -180.00     -20.00     0.00     9.90548e-03
60.00     -180.00     -19.00     0.00     9.89544e-03
60.00     -180.00     -18.00     0.00     9.95358e-03
60.00     -180.00     -17.00     0.00     1.02554e-02
60.00     -180.00     -16.00     0.00     1.02686e-02
60.00     -180.00     -15.00     0.00     1.05056e-02
60.00     -180.00     -14.00     0.00     1.06433e-02
60.00     -180.00     -13.00     0.00     1.06376e-02
60.00     -180.00     -12.00     0.00     1.07311e-02
