phi_i     theta_i     phi_o     theta_o     brdf
25.535     180.000     52.000     55.000     3.08947e-01
25.535     180.000     68.000     206.000     2.56689e-01
25.535     180.000     88.000     77.000     3.51331e-01
25.535     180.000     9.000     150.000     3.59995e-01
25.535     180.000     19.000     201.000     1.97998e-01
25.535     180.000     10.500     26.000     4.05331e-01
25.535     180.000     46.500     88.000     3.05685e-01
26.061     180.000     48.500     262.000     1.78078e-01
26.061     180.000     35.500     137.000     1.32619e-01
26.061     180.000     5.000     80.000     2.72199e-01
26.061     180.000     5.500     60.000     3.17806e-01
26.061     180.000     28.000     139.000     1.36869e-01
26.061     180.000     79.000     244.000     3.37271e-01
26.061     180.000     8.000     86.000     2.58917e-01
26.061     180.000     69.500     98.000     2.81980e-01
26.061     180.000     17.000     160.000     1.50595e-01
26.061     180.000     81.500     273.000     3.07456e-01
26.061     180.000     40.500     341.000     4.98564e-01
26.061     180.000     61.000     287.000     2.20294e-01
26.061     180.000     69.000     75.000     2.35148e-01
26.061     180.000     35.500     75.000     2.30855e-01
26.061     180.000     71.500     151.000     3.15256e-01
26.061     180.000     46.500     300.000     2.43869e-01
26.061     180.000     35.500     347.000     5.76123e-01
26.061     180.000     73.500     16.000     3.90057e-01
26.061     180.000     84.000     343.000     3.55523e-01
26.061     180.000     88.500     229.000     2.64181e-01
26.061     180.000     31.500     346.000     4.68632e-01
26.061     180.000     79.000     341.000     3.69535e-01
26.061     180.000     60.500     232.000     1.92356e-01
26.061     180.000     86.500     307.000     2.98822e-01
26.061     180.000     68.000     329.000     4.58774e-01
26.061     180.000     83.500     286.000     3.02610e-01
26.061     180.000     59.000     297.000     2.48530e-01
26.061     180.000     55.500     23.000     3.47387e-01
26.061     180.000     83.500     192.000     2.82940e-01
26.061     180.000     76.500     190.000     2.93606e-01
26.061     180.000     41.500     130.000     1.49725e-01
26.061     180.000     23.500     338.000     4.70011e-01
26.061     180.000     23.500     0.000     4.64205e-01
26.061     180.000     66.500     52.000     2.58548e-01
26.061     180.000     37.500     102.000     1.76792e-01
26.061     180.000     23.000     115.000     1.68186e-01
26.061     180.000     40.500     249.000     1.46867e-01
26.061     180.000     7.500     60.000     3.31908e-01
26.061     180.000     66.500     326.000     3.50500e-01
26.061     180.000     1.500     73.000     2.74071e-01
26.061     180.000     65.500     262.000     2.17819e-01
26.061     180.000     65.000     74.000     2.32495e-01
26.061     180.000     10.000     209.000     1.74804e-01
26.061     180.000     38.000     136.000     1.27900e-01
26.061     180.000     54.000     253.000     1.80725e-01
26.061     180.000     82.500     16.000     3.62521e-01
26.061     180.000     37.000     254.000     1.58381e-01
26.061     180.000     83.000     201.000     2.91460e-01
26.061     180.000     6.500     102.000     2.58254e-01
26.061     180.000     64.000     339.000     3.95056e-01
26.061     180.000     16.000     27.000     5.75213e-01
26.061     180.000     3.500     72.000     2.82080e-01
26.061     180.000     9.500     161.000     2.25197e-01
26.061     180.000     5.000     79.000     2.74172e-01
26.061     180.000     59.500     311.000     2.87586e-01
26.061     180.000     3.500     69.000     2.86201e-01
26.061     180.000     73.000     345.000     3.66213e-01
26.061     180.000     44.000     309.000     2.83223e-01
26.061     180.000     40.500     125.000     1.34809e-01
26.061     180.000     4.500     215.000     2.59832e-01
26.061     180.000     58.500     303.000     2.50404e-01
26.061     180.000     88.500     352.000     3.32113e-01
26.061     180.000     76.000     312.000     3.89817e-01
26.061     180.000     60.000     281.000     2.07736e-01
26.061     180.000     88.500     177.000     2.75177e-01
26.061     180.000     80.500     9.000     3.66683e-01
26.061     180.000     48.000     79.000     5.11715e-01
26.061     180.000     56.500     260.000     1.79145e-01
26.061     180.000     4.500     178.000     3.06839e-01
26.061     180.000     25.500     146.000     1.36775e-01
26.061     180.000     84.500     155.000     2.84404e-01
26.061     180.000     41.500     302.000     2.65966e-01
26.061     180.000     47.000     314.000     2.95758e-01
26.061     180.000     58.000     16.000     3.46485e-01
26.061     180.000     7.500     315.000     4.31635e-01
26.061     180.000     43.500     158.000     1.29380e-01
26.061     180.000     29.500     325.000     4.79311e-01
26.061     180.000     81.000     197.000     2.99586e-01
26.061     180.000     72.500     291.000     3.15115e-01
26.061     180.000     40.000     268.000     1.79581e-01
26.061     180.000     32.500     339.000     5.79845e-01
26.061     180.000     35.000     243.000     1.53776e-01
26.061     180.000     86.000     93.000     2.83014e-01
26.061     180.000     59.000     129.000     2.43023e-01
26.061     180.000     63.000     119.000     2.56294e-01
26.061     180.000     63.000     308.000     2.85844e-01
26.061     180.000     65.500     210.000     2.25022e-01
26.061     180.000     47.500     107.000     1.64810e-01
26.061     180.000     52.000     289.000     2.28971e-01
26.061     180.000     52.500     160.000     2.14560e-01
26.061     180.000     2.000     270.000     2.76843e-01
26.061     180.000     8.500     106.000     2.50086e-01
26.061     180.000     12.500     133.000     1.84357e-01
26.061     180.000     36.000     170.000     1.55702e-01
26.061     180.000     53.500     103.000     2.81784e-01
26.061     180.000     59.000     299.000     2.40947e-01
26.061     180.000     57.000     181.000     2.18670e-01
26.061     180.000     54.500     234.000     1.53272e-01
26.061     180.000     73.500     197.000     3.23903e-01
26.061     180.000     28.000     329.000     5.46588e-01
26.572     180.000     8.000     347.000     4.12568e-01
26.572     180.000     80.000     205.000     3.50071e-01
26.572     180.000     85.500     142.000     2.85429e-01
26.572     180.000     73.000     244.000     3.20525e-01
26.572     180.000     46.500     195.000     1.38896e-01
26.572     180.000     15.000     177.000     1.58851e-01
26.572     180.000     5.000     79.000     3.33305e-01
26.572     180.000     68.500     338.000     4.72097e-01
26.572     180.000     76.000     128.000     3.44872e-01
26.572     180.000     62.500     286.000     2.18564e-01
26.572     180.000     23.500     47.000     4.18109e-01
26.572     180.000     72.000     353.000     4.25675e-01
26.572     180.000     40.500     260.000     1.78676e-01
26.572     180.000     44.500     302.000     2.63358e-01
26.572     180.000     65.000     211.000     2.86461e-01
26.572     180.000     1.500     223.000     2.95520e-01
26.572     180.000     49.500     175.000     1.79766e-01
26.572     180.000     63.000     56.000     2.78032e-01
26.572     180.000     44.500     149.000     1.65406e-01
26.572     180.000     32.000     19.000     4.90082e-01
26.572     180.000     75.500     30.000     3.41206e-01
26.572     180.000     69.000     315.000     2.98395e-01
26.572     180.000     20.000     72.000     2.79084e-01
26.572     180.000     48.500     66.000     3.35907e-01
26.572     180.000     24.500     147.000     1.36354e-01
26.572     180.000     63.500     188.000     3.24388e-01
26.572     180.000     89.000     228.000     2.80531e-01
26.572     180.000     41.000     128.000     1.50437e-01
26.572     180.000     14.000     137.000     1.70587e-01
26.572     180.000     25.500     149.000     1.33275e-01
26.572     180.000     31.500     249.000     1.60257e-01
26.572     180.000     33.000     357.000     5.25712e-01
26.572     180.000     31.500     304.000     3.36466e-01
26.572     180.000     50.000     355.000     4.98640e-01
26.572     180.000     49.000     33.000     5.47488e-01
26.572     180.000     66.500     299.000     2.64793e-01
26.572     180.000     16.000     281.000     2.86661e-01
26.572     180.000     45.000     53.000     3.60238e-01
26.572     180.000     25.500     358.000     4.73354e-01
26.572     180.000     74.500     25.000     3.45957e-01
26.572     180.000     62.500     51.000     3.00736e-01
26.572     180.000     28.000     215.000     1.38260e-01
26.572     180.000     6.000     203.000     2.57814e-01
26.572     180.000     74.500     174.000     2.93997e-01
26.572     180.000     14.500     24.000     5.83648e-01
26.572     180.000     25.000     302.000     3.77729e-01
26.572     180.000     12.000     221.000     2.07907e-01
26.572     180.000     88.500     312.000     3.00226e-01
26.572     180.000     88.500     100.000     2.55535e-01
26.572     180.000     51.000     29.000     4.47785e-01
26.572     180.000     59.000     189.000     2.05183e-01
26.572     180.000     8.500     5.000     4.13220e-01
26.572     180.000     15.000     218.000     1.99200e-01
26.572     180.000     75.000     50.000     3.04292e-01
26.572     180.000     16.000     83.000     2.46689e-01
26.572     180.000     4.500     268.000     2.88910e-01
26.572     180.000     73.500     327.000     3.83513e-01
26.572     180.000     18.000     265.000     3.66041e-01
26.572     180.000     71.000     224.000     3.61645e-01
26.572     180.000     53.000     237.000     1.47571e-01
26.572     180.000     57.000     38.000     3.12801e-01
26.572     180.000     17.000     155.000     1.53797e-01
26.572     180.000     75.000     324.000     4.06134e-01
